FileName,Nodes,Relationships,Time Elapsed
CleanWikiDump_part451.json,65203,74454,105.91553926467896
CleanWikiDump_part308.json,135698,201842,1193.3928816318512
CleanWikiDump_part190.json,203653,338826,3303.395318508148
CleanWikiDump_part431.json,274990,499564,6460.113753080368
CleanWikiDump_part111.json,346521,666843,10889.333751440048
CleanWikiDump_part182.json,414571,840126,16216.113708019257
CleanWikiDump_part181.json,472170,1038112,22357.094899892807
CleanWikiDump_part109.json,534548,1227309,30754.20378804207
CleanWikiDump_part110.json,586782,1417888,39796.35027933121
CleanWikiDump_part367.json,652247,1601161,49356.71703124046
CleanWikiDump_part342.json,718423,1792227,60479.595110177994
CleanWikiDump_part276.json,772203,1971500,73227.09689712524
