FileName,Nodes,Relationships,Time Elapsed
CleanWikiDump_part451.json,54352,71809,6.775113344192505
CleanWikiDump_part308.json,117871,164488,10.168390035629272
CleanWikiDump_part190.json,178834,263084,13.70409345626831
CleanWikiDump_part431.json,242619,375759,17.116923332214355
CleanWikiDump_part111.json,306429,494214,20.631558179855347
CleanWikiDump_part182.json,367045,613329,24.53649640083313
CleanWikiDump_part181.json,418781,732110,28.107914447784424
CleanWikiDump_part109.json,475671,859585,31.682056665420532
CleanWikiDump_part110.json,522397,989031,35.175405979156494
CleanWikiDump_part367.json,580995,1118027,39.09076905250549
CleanWikiDump_part342.json,639599,1251589,43.42853045463562
CleanWikiDump_part276.json,695933,1393507,47.76149344444275
CleanWikiDump_part449.json,752259,1536576,51.74401092529297
CleanWikiDump_part447.json,808527,1685154,56.483819007873535
CleanWikiDump_part437.json,862039,1835607,61.058648109436035
CleanWikiDump_part189.json,918285,1987854,66.15502905845642
CleanWikiDump_part450.json,970606,2146367,71.74872875213623
CleanWikiDump_part448.json,1020975,2306496,76.24552965164185
CleanWikiDump_part364.json,1075211,2467118,80.77411246299744
CleanWikiDump_part307.json,1129359,2629812,85.39554524421692
CleanWikiDump_part363.json,1178146,2792771,90.30184721946716
CleanWikiDump_part343.json,1226721,2957575,95.17561626434326
CleanWikiDump_part445.json,1276828,3125376,100.0241961479187
CleanWikiDump_part446.json,1323113,3294950,104.83478355407715
CleanWikiDump_part432.json,1370251,3464541,109.74936079978943
CleanWikiDump_part311.json,1422284,3638295,114.6832983493805
CleanWikiDump_part439.json,1468570,3813045,119.54656910896301
CleanWikiDump_part444.json,1516845,3991013,124.4327335357666
CleanWikiDump_part401.json,1562969,4165223,129.30436944961548
CleanWikiDump_part438.json,1605168,4342395,134.3542308807373
CleanWikiDump_part150.json,1657193,4520936,139.23746967315674
CleanWikiDump_part428.json,1702026,4697793,144.1191475391388
CleanWikiDump_part235.json,1751807,4882347,149.00511288642883
CleanWikiDump_part443.json,1797350,5072007,154.18155002593994
CleanWikiDump_part219.json,1852833,5263220,159.2998878955841
CleanWikiDump_part365.json,1899140,5455281,164.5942633152008
CleanWikiDump_part433.json,1942936,5646483,169.72207617759705
CleanWikiDump_part414.json,1991053,5837908,174.78342700004578
CleanWikiDump_part441.json,2033846,6033690,179.94090938568115
CleanWikiDump_part315.json,2084322,6229805,185.27769136428833
CleanWikiDump_part442.json,2123626,6427706,190.51199173927307
CleanWikiDump_part434.json,2161856,6626202,195.79168510437012
CleanWikiDump_part389.json,2209032,6825835,201.03072381019592
CleanWikiDump_part321.json,2251696,7026322,206.21364212036133
CleanWikiDump_part416.json,2294609,7226305,211.53126525878906
CleanWikiDump_part188.json,2344718,7430220,216.96160531044006
CleanWikiDump_part403.json,2385344,7634603,222.39182233810425
CleanWikiDump_part314.json,2428352,7839561,227.83653569221497
CleanWikiDump_part309.json,2469367,8044447,233.19787764549255
CleanWikiDump_part426.json,2510311,8249498,238.51252365112305
CleanWikiDump_part427.json,2549453,8455685,244.09607815742493
CleanWikiDump_part435.json,2586574,8660926,249.56028723716736
CleanWikiDump_part329.json,2629671,8869622,254.98446035385132
CleanWikiDump_part436.json,2663910,9079525,260.5255994796753
CleanWikiDump_part340.json,2709293,9292633,266.1468710899353
CleanWikiDump_part220.json,2758116,9509044,271.9745149612427
CleanWikiDump_part395.json,2803193,9719748,278.1400101184845
CleanWikiDump_part429.json,2837701,9932611,283.7056653499603
CleanWikiDump_part415.json,2874597,10146919,289.41299962997437
CleanWikiDump_part391.json,2910964,10360000,295.17281198501587
CleanWikiDump_part440.json,2945046,10578699,300.9607615470886
CleanWikiDump_part421.json,2980496,10794627,307.1304054260254
CleanWikiDump_part305.json,3020987,11012123,313.70485830307007
CleanWikiDump_part378.json,3060052,11229635,321.33280515670776
CleanWikiDump_part377.json,3096019,11445776,328.5714600086212
CleanWikiDump_part396.json,3134189,11663953,335.9138391017914
CleanWikiDump_part128.json,3182778,11889884,344.0461061000824
CleanWikiDump_part310.json,3222797,12110422,352.08788299560547
CleanWikiDump_part385.json,3263779,12331223,358.2314558029175
CleanWikiDump_part366.json,3298080,12551499,364.40099716186523
CleanWikiDump_part430.json,3331240,12769320,370.64671778678894
CleanWikiDump_part404.json,3362733,12989166,377.2137358188629
CleanWikiDump_part394.json,3400732,13206938,383.4754765033722
CleanWikiDump_part330.json,3440623,13429414,390.32373332977295
CleanWikiDump_part402.json,3472573,13651604,396.8585467338562
CleanWikiDump_part390.json,3508163,13875497,403.9012825489044
CleanWikiDump_part397.json,3546051,14095404,411.0812213420868
CleanWikiDump_part175.json,3591020,14324109,418.2708671092987
CleanWikiDump_part337.json,3630162,14550903,425.4104435443878
CleanWikiDump_part412.json,3668318,14773557,432.58724188804626
CleanWikiDump_part413.json,3705420,14997104,439.6575999259949
CleanWikiDump_part410.json,3745119,15221039,447.19458746910095
CleanWikiDump_part338.json,3780771,15447893,454.95114946365356
CleanWikiDump_part411.json,3816359,15673874,462.4479513168335
CleanWikiDump_part384.json,3851159,15896957,469.19569659233093
CleanWikiDump_part425.json,3883457,16121307,476.53414726257324
CleanWikiDump_part420.json,3915274,16349496,484.6387424468994
CleanWikiDump_part393.json,3951791,16576703,492.1585097312927
CleanWikiDump_part373.json,3981874,16804223,499.68992948532104
CleanWikiDump_part376.json,4011031,17035806,506.98342752456665
CleanWikiDump_part419.json,4043300,17267896,514.638190984726
CleanWikiDump_part245.json,4084548,17501529,522.7454011440277
